status,feasible,solve_time_sec,objective_value,total_units_shipped,total_unmet_units,total_ship_cost,total_fixed_cost,total_miles,avg_miles_per_unit,cost_per_unit,service_level,fc_count_open,fcs_open,date,scenario,scenario_label,demand_units,avg_storage_utilization
Optimal,True,1.51,130160.36,8053.0,583.0,61374.86,54500,2464486.0,306.0,7.621,0.9482,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-03-21,S3_service_constrained,Service-Constrained MIP,8636.0,1.6
Optimal,True,1.67,129696.65,8013.0,623.0,60283.15,54500,2341935.0,292.3,7.523,0.9569,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-03-21,S4_pooled_forward,Pooled Inventory + Forward Positioning,8636.0,1.6
Heuristic,True,0.0,135359.1,7987.0,0.0,56214.6,78000,1810786.0,226.7,7.038,0.9591,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-04-14,S1_nearest_fc,Baseline: Nearest FC,7987.0,1.5
Optimal,True,2.48,123742.9,7539.0,448.0,58074.4,54500,2397254.0,318.0,7.703,0.9503,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-04-14,S2_cost_min,Cost-Minimizing MIP,7987.0,1.5
Optimal,True,1.94,123742.9,7539.0,448.0,58074.4,54500,2397254.0,318.0,7.703,0.9503,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-04-14,S3_service_constrained,Service-Constrained MIP,7987.0,1.5
Optimal,True,1.78,123335.05,7538.0,449.0,57781.05,54500,2358026.0,312.8,7.665,0.9554,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-04-14,S4_pooled_forward,Pooled Inventory + Forward Positioning,7987.0,1.5
Heuristic,True,0.0,140800.31,8724.0,0.0,61435.31,78000,1987842.0,227.9,7.042,0.9553,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-05-14,S1_nearest_fc,Baseline: Nearest FC,8724.0,1.6
Optimal,True,1.89,130739.55,8167.0,557.0,62431.55,54500,2529122.0,309.7,7.644,0.9456,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-05-14,S2_cost_min,Cost-Minimizing MIP,8724.0,1.7
Optimal,True,1.71,130739.55,8167.0,557.0,62431.55,54500,2529122.0,309.7,7.644,0.9456,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-05-14,S3_service_constrained,Service-Constrained MIP,8724.0,1.7
Optimal,True,2.16,130798.81,8176.0,548.0,62569.81,54500,2545105.0,311.3,7.653,0.9415,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-05-14,S4_pooled_forward,Pooled Inventory + Forward Positioning,8724.0,1.7
Heuristic,True,0.0,136862.28,8245.0,0.0,57556.78,78000,1811892.0,219.8,6.981,0.9548,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-06-26,S1_nearest_fc,Baseline: Nearest FC,8245.0,1.5
Optimal,True,1.52,125423.65,7779.0,466.0,59166.65,54500,2369792.0,304.6,7.606,0.9447,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-06-26,S2_cost_min,Cost-Minimizing MIP,8245.0,1.6
Optimal,True,1.36,125423.65,7779.0,466.0,59166.65,54500,2369792.0,304.6,7.606,0.9447,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-06-26,S3_service_constrained,Service-Constrained MIP,8245.0,1.6
Optimal,True,1.71,125013.11,7766.0,479.0,58603.11,54500,2302036.0,296.4,7.546,0.9495,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-06-26,S4_pooled_forward,Pooled Inventory + Forward Positioning,8245.0,1.6
Heuristic,True,0.0,136255.95,8105.0,0.0,56890.95,78000,1815548.0,224.0,7.019,0.9519,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-07-03,S1_nearest_fc,Baseline: Nearest FC,8105.0,1.5
Optimal,True,2.18,124666.52,7611.0,494.0,57905.52,54500,2315038.0,304.2,7.608,0.9477,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-07-03,S2_cost_min,Cost-Minimizing MIP,8105.0,1.6
Optimal,True,1.62,124666.52,7611.0,494.0,57905.52,54500,2315038.0,304.2,7.608,0.9477,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-07-03,S3_service_constrained,Service-Constrained MIP,8105.0,1.6
Optimal,True,1.32,123940.83,7614.0,491.0,57441.83,54500,2251183.0,295.7,7.544,0.9551,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-07-03,S4_pooled_forward,Pooled Inventory + Forward Positioning,8105.0,1.6
Heuristic,True,0.0,138354.11,8339.0,0.0,58982.11,78000,1930934.0,231.6,7.073,0.953,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-08-22,S1_nearest_fc,Baseline: Nearest FC,8339.0,1.6
Optimal,True,1.55,127490.88,7827.0,512.0,60088.88,54500,2462174.0,314.6,7.677,0.9402,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-08-22,S2_cost_min,Cost-Minimizing MIP,8339.0,1.6
Optimal,True,1.87,127490.88,7827.0,512.0,60088.88,54500,2462174.0,314.6,7.677,0.9402,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-08-22,S3_service_constrained,Service-Constrained MIP,8339.0,1.6
Optimal,True,1.6,126972.3,7800.0,539.0,59210.8,54500,2360841.0,302.7,7.591,0.9486,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-08-22,S4_pooled_forward,Pooled Inventory + Forward Positioning,8339.0,1.6
Heuristic,True,0.0,133457.63,7712.0,0.0,54082.13,78000,1721728.0,223.3,7.013,0.949,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-09-07,S1_nearest_fc,Baseline: Nearest FC,7712.0,1.5
Optimal,True,1.58,121458.51,7112.0,600.0,56771.01,50000,2554234.0,359.1,7.982,0.9402,4,"FC_ATL,FC_DFW,FC_EWR,FC_PHX",2024-09-07,S2_cost_min,Cost-Minimizing MIP,7712.0,1.5
Optimal,True,1.98,121458.51,7112.0,600.0,56771.01,50000,2554234.0,359.1,7.982,0.9402,4,"FC_ATL,FC_DFW,FC_EWR,FC_PHX",2024-09-07,S3_service_constrained,Service-Constrained MIP,7712.0,1.5
Optimal,True,2.74,122266.09,7204.0,508.0,55029.09,54500,2220493.0,308.2,7.639,0.9381,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-09-07,S4_pooled_forward,Pooled Inventory + Forward Positioning,7712.0,1.5
Heuristic,True,0.0,150815.01,9994.0,0.0,70981.01,78000,2352470.0,235.4,7.102,0.9476,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-10-03,S1_nearest_fc,Baseline: Nearest FC,9994.0,1.8
Optimal,True,2.0,143845.58,9216.0,778.0,70584.58,54500,2875296.0,312.0,7.659,0.949,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-10-03,S2_cost_min,Cost-Minimizing MIP,9994.0,1.9
Optimal,True,1.87,143845.58,9216.0,778.0,70584.58,54500,2875296.0,312.0,7.659,0.949,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-10-03,S3_service_constrained,Service-Constrained MIP,9994.0,1.9
Optimal,True,1.27,144567.24,9188.0,806.0,70487.24,54500,2881191.0,313.6,7.672,0.9425,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-10-03,S4_pooled_forward,Pooled Inventory + Forward Positioning,9994.0,1.8
Heuristic,True,0.0,142369.86,8861.0,0.0,62784.36,78000,2072959.0,233.9,7.085,0.9489,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-11-16,S1_nearest_fc,Baseline: Nearest FC,8861.0,1.6
Optimal,True,1.55,131904.12,8325.0,536.0,64023.12,54500,2631704.0,316.1,7.69,0.9455,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-11-16,S2_cost_min,Cost-Minimizing MIP,8861.0,1.7
Optimal,True,1.4,131904.12,8325.0,536.0,64023.12,54500,2631704.0,316.1,7.69,0.9455,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-11-16,S3_service_constrained,Service-Constrained MIP,8861.0,1.7
Optimal,True,2.15,133041.35,8214.0,647.0,62732.35,54500,2542157.0,309.5,7.637,0.9452,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-11-16,S4_pooled_forward,Pooled Inventory + Forward Positioning,8861.0,1.6
Heuristic,True,0.0,319471.25,33036.0,0.0,235507.25,78000,7899181.0,239.1,7.129,0.9484,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-11-29,S1_nearest_fc,Baseline: Nearest FC,33036.0,5.3
Optimal,True,0.17,324134.58,32976.0,60.0,239435.08,78000,8628704.0,261.7,7.261,0.9534,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-11-29,S2_cost_min,Cost-Minimizing MIP,33036.0,5.5
Optimal,True,0.21,324134.58,32976.0,60.0,239435.08,78000,8628704.0,261.7,7.261,0.9534,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-11-29,S3_service_constrained,Service-Constrained MIP,33036.0,5.5
Optimal,True,0.2,322888.6,32978.0,58.0,238226.1,78000,8458354.0,256.5,7.224,0.9533,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-11-29,S4_pooled_forward,Pooled Inventory + Forward Positioning,33036.0,5.4
Heuristic,True,0.0,651153.58,52467.0,5144.0,439374.08,78000,21608599.0,411.9,8.374,0.8878,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-12-02,S1_nearest_fc,Baseline: Nearest FC,57611.0,9.1
Optimal,True,0.14,578786.06,53514.0,4097.0,401562.56,78000,15801714.0,295.3,7.504,0.9515,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-12-02,S2_cost_min,Cost-Minimizing MIP,57611.0,9.3
Optimal,True,0.15,578786.06,53514.0,4097.0,401562.56,78000,15801714.0,295.3,7.504,0.9515,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-12-02,S3_service_constrained,Service-Constrained MIP,57611.0,9.3
Optimal,True,0.16,586978.85,52214.0,5397.0,383080.35,78000,14215299.0,272.3,7.337,0.9608,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-12-02,S4_pooled_forward,Pooled Inventory + Forward Positioning,57611.0,9.3
Heuristic,True,0.0,324726.64,33792.0,0.0,240503.64,78000,8005909.0,236.9,7.117,0.9474,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-12-03,S1_nearest_fc,Baseline: Nearest FC,33792.0,5.4
Optimal,True,0.16,328519.37,33775.0,17.0,244604.87,78000,8739484.0,258.8,7.242,0.9531,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-12-03,S2_cost_min,Cost-Minimizing MIP,33792.0,5.6
Optimal,True,0.16,328519.37,33775.0,17.0,244604.87,78000,8739484.0,258.8,7.242,0.9531,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-12-03,S3_service_constrained,Service-Constrained MIP,33792.0,5.6
Optimal,True,0.17,326635.63,33664.0,128.0,240667.63,78000,8276686.0,245.9,7.149,0.9563,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-12-03,S4_pooled_forward,Pooled Inventory + Forward Positioning,33792.0,5.6
Heuristic,True,0.0,269199.35,26420.0,0.0,186659.85,78000,6064605.0,229.5,7.065,0.9509,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-12-04,S1_nearest_fc,Baseline: Nearest FC,26420.0,4.3
Optimal,True,0.38,274556.35,26371.0,49.0,191446.35,78000,6854819.0,259.9,7.26,0.9563,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-12-04,S2_cost_min,Cost-Minimizing MIP,26420.0,4.5
Optimal,True,0.22,274556.35,26371.0,49.0,191446.35,78000,6854819.0,259.9,7.26,0.9563,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-12-04,S3_service_constrained,Service-Constrained MIP,26420.0,4.5
Optimal,True,0.24,273570.81,26348.0,72.0,189947.81,78000,6669383.0,253.1,7.209,0.9562,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-12-04,S4_pooled_forward,Pooled Inventory + Forward Positioning,26420.0,4.4
Heuristic,True,0.0,177010.54,13583.0,0.0,96886.04,78000,3268230.0,240.6,7.133,0.9553,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-12-30,S1_nearest_fc,Baseline: Nearest FC,13583.0,2.4
Optimal,True,1.72,175753.58,13573.0,10.0,107170.08,65000,4736387.0,349.0,7.896,0.9292,5,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_PHX",2024-12-30,S2_cost_min,Cost-Minimizing MIP,13583.0,2.4
Optimal,True,1.51,175773.24,13561.0,22.0,106973.11,65000,4718422.0,347.9,7.888,0.93,5,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_PHX",2024-12-30,S3_service_constrained,Service-Constrained MIP,13583.0,2.4
Optimal,True,1.16,175061.35,13560.0,23.0,106237.83,65000,4603941.0,339.5,7.835,0.93,5,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_PHX",2024-12-30,S4_pooled_forward,Pooled Inventory + Forward Positioning,13583.0,2.4
